Full Location Name	Latitude	Longitude	Public Notes	Private Notes	Trimmed Name	Alternate Names	Parent	Secondary Parents	Validity
Rufisque, Dakar, Senegal	14.716667	-17.266667	.	.	Rufisque	.	Dakar, Senegal	.	.
Saloum, Senegal	13.970395	-16.740738	.	.	Saloum	.	Senegal	.	.
Maruim, Sergipe, Brazil	-10.772650	-37.089497	.	.	Maruim	.	Sergipe, Brazil	.	.
Aldabra, Seychelles	-9.416806	46.416650	.	.	Aldabra	.	Seychelles	.	.
Mahé, Seychelles	-4.666667	55.433333	.	.	Mahé (Seychelles)	.	Seychelles	.	.
Praslin, Seychelles	-4.316667	55.733333	.	.	Praslin	.	Seychelles	.	.
Saint Joseph Atoll, Seychelles	-5.436643	53.359609	.	.	Saint Joseph Atoll	.	Seychelles	.	.
Southern coast of Shandong Peninsula, China	36.693707	121.203856	.	.	Southern coast of Shandong Peninsula	Shantung	Shandong Peninsula, Shandong, China	.	.
Shandong Peninsula, Shandong, China	36.693707	121.203856	.	.	Shandong Peninsula	.	Shandong, China	.	.
Tosa Bay, Shikoku, Japan	33.460038	133.478262	.	.	Tosa Bay	.	Shikoku, Japan	.	.
Nabq, South Sinai Governorate, Egypt	28.041312	34.436759	.	.	Nabq	.	South Sinai Governorate, Egypt	Gulf of Aqaba, Red Sea	.
Bay of Altata, Sinaloa, Mexico	24.627679	-107.937975	.	.	Bay of Altata	.	Sinaloa, Mexico	.	.
El Huizache, Sinaloa, Mexico	22.951715	-106.063556	.	.	El Huizache	.	Sinaloa, Mexico	.	.
Estero el Verde, Sinaloa, Mexico	23.419602	-106.556270	.	.	Estero el Verde	.	Sinaloa, Mexico	.	.
Mazatlán, Sinaloa, Mexico	23.212717	-106.405832	.	Pacific coast	Mazatlán	.	Sinaloa, Mexico	.	.
Rio Presidio, Sinaloa, Mexico	23.093249	-106.291253	.	.	Rio Presidio	.	Sinaloa, Mexico	.	.
Leeward Islands, Society Islands, French Polynesia	-16.513540	-152.503769	.	.	Leeward Islands (Society Islands)	Îles Sous-le-Vent	Society Islands, French Polynesia	.	.
Windward Islands, Society Islands, French Polynesia	-17.628890	-149.630642	.	.	Windward Islands (Society Islands)	Îles du Vent	Society Islands, French Polynesia	.	.
Abd al Kuri, Socotra, Yemen	12.185806	52.238333	.	Rocky island in Indian Ocean, near Somalia	Abd al Kuri	.	Socotra, Yemen	.	.
Vanikoro, Solomon Islands	-11.650000	166.900000	.	.	Vanikoro	.	Solomon Islands	.	.
Giumbo, Somalia	-0.246200	42.626300	.	.	Giumbo	.	Somalia	.	.
Songkhla Lake, Songkhla, Thailand	7.602184	100.182385	.	.	Songkhla Lake	Tale Sap	Songkhla, Thailand	.	.
Bahía de Tepoca, Sonora, Mexico	30.250000	-112.833333	.	Gulf of California	Bahía de Tepoca	.	Sonora, Mexico	.	.
Guaymas, Sonora, Mexico	27.907820	-110.897187	.	Gulf of California	Guaymas	.	Sonora, Mexico	.	.
Isla Tiburón, Sonora, Mexico	29.002833	-112.391428	.	Gulf of California	Isla Tiburón	Tiburón Island	Sonora, Mexico	.	.
Puerto Peñasco, Sonora, Mexico	31.311683	-113.549139	.	Gulf of California	Puerto Peñasco	.	Sonora, Mexico	.	.
Durban Bay, Durban, KwaZulu-Natal, South Africa	-29.876945	31.039842	.	Includes Natal and Natal Bay	Durban Bay	.	Durban, KwaZulu-Natal, South Africa	.	.
Durban Harbour, Durban, KwaZulu-Natal, South Africa	-29.873280	31.022329	.	.	Durban Harbour	.	Durban, KwaZulu-Natal, South Africa	.	.
Durban, KwaZulu-Natal, South Africa	-29.867417	31.014330	.	.	Durban	.	KwaZulu-Natal, South Africa	.	.
KwaZulu-Natal, South Africa	-29.876945	31.039842	.	Using Durban	KwaZulu-Natal	.	South Africa	.	.
Atlantic coast of South America	4.937222	-52.492778	.	.	Atlantic coast of South America	.	South America	Western Atlantic Ocean	.
Pacific coast of South America	-12.065965	-77.160180	.	.	Pacific coast of South America	.	South America	Eastern Pacific Ocean	.
Beaufort, Beaufort County, South Carolina, USA	32.424719	-80.673515	.	.	Beaufort (South Carolina)	.	Beaufort County, South Carolina, USA	.	.
Cape Island, Charleston County, South Carolina, USA	33.040276	-79.348291	.	.	Cape Island	.	Charleston County, South Carolina, USA	.	.
Charleston, Charleston County, South Carolina, USA	32.750033	-79.913940	.	.	Charleston	.	Charleston County, South Carolina, USA	.	.
Georgetown, Georgetown County, South Carolina, USA	33.367500	-79.293889	.	.	Georgetown	.	Georgetown County, South Carolina, USA	.	.
Hunting Island, Beaufort County, South Carolina, USA	32.358666	-80.454390	.	.	Hunting Island	.	Beaufort County, South Carolina, USA	.	.
Kiawah Island, Charleston County, South Carolina, USA	32.604813	-80.069921	.	.	Kiawah Island	.	Charleston County, South Carolina, USA	.	.
North Inlet, Georgetown County, South Carolina, USA	33.328005	-79.166360	.	.	North Inlet	.	Georgetown County, South Carolina, USA	.	.
Rat Island, Charleston County, South Carolina, USA	32.689659	-79.892800	.	.	Rat Island	.	Charleston County, South Carolina, USA	.	.
Winyah Bay, Georgetown County, South Carolina, USA	33.272542	-79.245461	.	.	Winyah Bay	.	Georgetown County, South Carolina, USA	.	.
Incheon, South Korea	37.386279	126.702844	.	.	Incheon	.	South Korea	.	.
Jeopdo Island, South Korea	34.378950	126.294408	.	.	Jeopdo Island	.	South Korea	.	.
Jindo Island, South Korea	34.378950	126.294408	.	.	Jindo Island	Chindo Island	South Korea	.	.
Yubudo Island, South Korea	35.992917	126.602292	.	.	Yubudu Island	.	South Korea	.	.
Andalusia, Spain	36.022659	-5.607196	Autonomous Community	.	Andalusia	Southern Spain	Spain	.	.
Bay of Cádiz, Cádiz, Andalusia, Spain	36.559615	-6.259301	.	.	Bay of Cádiz	.	Cádiz, Andalusia, Spain	.	.
Cádiz, Andalusia, Spain	36.537478	-6.298868	Province	.	Cádiz	.	Andalusia, Spain	.	.
Guadalquivir, Andalusia, Spain	36.844170	-6.354077	River on border of Cádiz and Huelva	River north of Cadiz	Guadalquivir	.	Andalusia, Spain	.	.
Isla Cristina, Huelva, Andalusia, Spain	37.205536	-7.329407	.	.	Isla Cristina	.	Huelva, Andalusia, Spain	.	.
Puerto Real, Cádiz, Andalusia, Spain	36.529167	-6.191944	.	.	Puerto Real	.	Cádiz, Andalusia, Spain	.	.
Trincomalee, Sri Lanka	8.584056	81.217851	.	.	Trincomalee	.	Sri Lanka	.	.
Araya Peninsula, Sucre, Venezuela	10.610061	-64.001877	.	.	Araya Peninsula	.	Sucre, Venezuela	.	.
Dongala, Central Sulawesi, Sulawesi, Indonesia	-0.666918	119.745847	.	.	Dongala	.	Central Sulawesi, Sulawesi, Indonesia	.	.
Kaledupa, Southeast Sulawesi, Sulawesi, Indonesia	-5.537825	123.770182	.	.	Kaledupa	.	Southeast Sulawesi, Sulawesi, Indonesia	.	.
Kema, North Sulawesi, Sulawesi, Indonesia	1.333910	125.072943	.	.	Kema	.	North Sulawesi, Sulawesi, Indonesia	.	.
Makassar, South Sulawesi, Sulawesi, Indonesia	-5.115918	119.410800	.	.	Makassar	.	South Sulawesi, Sulawesi, Indonesia	.	.
Manado, North Sulawesi, Sulawesi, Indonesia	1.476770	124.833602	.	.	Manado	.	North Sulawesi, Sulawesi, Indonesia	.	.
Palima, South Sulawesi, Sulawesi, Indonesia	-4.342971	120.352293	.	.	Palima	.	South Sulawesi, Sulawesi, Indonesia	.	.
Parepare, South Sulawesi, Sulawesi, Indonesia	-4.003009	119.621947	.	.	Parepare	.	South Sulawesi, Sulawesi, Indonesia	.	.
Jolo, Sulu, Philippines	6.055490	121.000702	.	.	Jolo	.	Sulu, Philippines	.	.
Aceh, Sumatra, Indonesia	5.550000	95.316667	.	Northern tip of Sumatra	Aceh	.	Sumatra, Indonesia	.	.
Eastern Sumatra, Indonesia	-4.152042	105.842492	.	Eastern edge of island	Eastern Sumatra	.	Sumatra, Indonesia	.	.
Lampung, Sumatra, Indonesia	-5.449324	105.276349	.	.	Lampung	.	Sumatra, Indonesia	.	.
Sibolga, North Sumatra, Sumatra, Indonesia	1.734940	98.780198	.	.	Sibolga	Siboga	North Sumatra, Sumatra, Indonesia	.	.
Simalur Island, Sumatra, Indonesia	2.625788	96.079054	.	Island SW of NW end; could not find current/modern name, but positiviely ID'd from old map	Simalur Island	.	Sumatra, Indonesia	.	.
Kodi, Sumba, East Nusa Tenggara, Indonesia	-9.607521	118.985381	.	.	Kodi	.	Sumba, East Nusa Tenggara, Indonesia	.	.
Bay of Bima, Sumbawa, West Nusa Tenggara, Indonesia	-8.460488	118.695828	.	.	Bay of Bima	.	Sumbawa, West Nusa Tenggara, Indonesia	.	.
Ko Phaluai, Surat Thani, Thailand	9.533333	99.683333	.	.	Ko Phaluai	Taluei Island	Surat Thani, Thailand	.	.
Paramaribo, Suriname	5.899834	-55.203948	.	.	Paramaribo	.	Suriname	.	.
Rehoboth Beach, Sussex County, Delaware, USA	38.720403	-75.075686	.	.	Rehoboth Beach	.	Sussex County, Delaware, USA	.	FOSSIL
Phaëton Bay, Tahiti, Windward Islands, Society Islands, French Polynesia	-17.737819	-149.328961	.	.	Phaëton Bay	.	Tahiti, Windward Islands, Society Islands, French Polynesia	.	.
Qigu, Tainan, Taiwan	23.124518	120.085431	.	.	Qigu	Cigu	Tainan, Taiwan	.	.
Dulan Forest, Taitung, Taiwan	22.852710	121.193761	.	.	Dulan Forest	.	Taitung, Taiwan	.	.
Bazhang River, Taiwan	23.324971	120.120868	Border of Tainan and Chiayi	.	Bazhang River	.	Taiwan	.	.
Dongsha Islands, Taiwan	20.701583	116.724918	.	.	Dongsha Islands	Pratas Islands	Taiwan	.	.
Kaohsiung, Taiwan	22.607187	120.287631	.	.	Kaohsiung	Takao	Taiwan	.	.
Kinmen, Taiwan	24.454169	118.382070	.	.	Kinmen	.	Taiwan	.	.
New Taipei City, Taiwan	25.173146	121.420262	.	.	New Taipei City	.	Taiwan	.	.
Penghu, Taiwan	23.568995	119.619246	.	.	Penghu	.	Taiwan	.	.
Pingtung, Taiwan	22.425271	120.503968	.	.	Pingtung	.	Taiwan	.	.
Southern Taiwan	21.973132	120.743547	.	.	Southern Taiwan	.	Taiwan	.	.
Tainan, Taiwan	23.133964	120.075295	.	.	Tainan	.	Taiwan	.	.
Taitung, Taiwan	22.766970	121.172770	.	.	Taitung	.	Taiwan	.	.
Tamsui, New Taipei City, Taiwan	25.172922	121.437792	.	.	Tamsui	Tansui;Tanshui	New Taipei City, Taiwan	.	.
Yilan, Taiwan	24.714859	121.775952	.	.	Yilan	.	Taiwan	.	.
Matamoros, Tamaulipas, Mexico	25.956996	-97.146196	.	.	Matamoros	.	Tamaulipas, Mexico	.	.
Tampico, Tamaulipas, Mexico	22.232511	-97.837843	.	.	Tampico	.	Tamaulipas, Mexico	.	.
Kanyakumari, Kanyakumari District, Tamil Nadu, India	8.080556	77.551723	.	.	Kanyakumari	Cape Comorin	Kanyakumari District, Tamil Nadu, India	.	.
Pichavaram Mangove Forest, Cuddalore District, Tamil Nadu, India	11.432632	79.787083	.	.	Pichavaram Mangove Forest	.	Cuddalore District, Tamil Nadu, India	.	.
Dar es Salaam, Tanzania	-6.800000	39.283333	.	.	Dar es Salaam	.	Tanzania	.	.
Kilwa-Kiwindje, Lindi Region, Tanzania	-8.750000	39.400000	.	.	Kilwa-Kiwindje	.	Lindi Region, Tanzania	.	.
Lindi, Lindi Region, Tanzania	-9.987761	39.710622	.	.	Lindi	.	Lindi Region, Tanzania	.	.
Pangani, Tanga Region, Tanzania	-5.429274	38.974643	.	.	Pangani	.	Tanga Region, Tanzania	.	.
Pemba Island, Tanzania	-5.166667	39.783333	.	.	Pemba Island	.	Tanzania	.	.
Zanzibar, Unguja, Tanzania	-6.163624	39.185733	City (not former name of country)	.	Zanzibar (City)	.	Unguja, Tanzania	.	.
Aransas County, Texas, USA	28.066286	-96.990616	.	.	Aransas County	.	Texas, USA	.	.
Aransas National Wildlife Refuge, Aransas County, Texas, USA	28.187086	-96.856677	.	.	Aransas National Wildlife Refuge	.	Aransas County, Texas, USA	.	.
Beaumont, Jefferson County, Texas, USA	30.071397	-94.058073	.	.	Beaumont	.	Jefferson County, Texas, USA	.	.
Bolivar Peninsula, Galveston County, Texas, USA	29.452794	-94.649293	.	.	Bolivar Peninsula	.	Galveston County, Texas, USA	.	.
Brooks County, Texas, USA	27.201199	-98.055706	.	.	Brooks County	.	Texas, USA	Southern Texas, USA	.
Cameron County, Texas, USA	26.201933	-97.298823	.	.	Cameron County	.	Texas, USA	Southern Texas, USA	.
Chocolate Bay, Brazoria County, Texas, USA	29.185522	-95.123651	.	.	Chocolate Bay	.	Brazoria County, Texas, USA	.	.
Corpus Christi, Nueces County, Texas, USA	27.813063	-97.393187	.	.	Corpus Christi	.	Nueces County, Texas, USA	.	.
Galveston, Galveston County, Texas, USA	29.287694	-94.809340	.	.	Galveston	.	Galveston County, Texas, USA	.	.
Kingsville, Kleberg County, Texas, USA	27.420903	-97.742398	.	.	Kingsville	.	Kleberg County, Texas, USA	.	.
Laguna Madre, Texas, USA	26.668912	-97.414224	.	.	Laguna Madre	.	Texas, USA	Southern Texas, USA	.
Matagorda Bay, Texas, USA	28.546855	-96.240652	.	.	Matagorda Bay	.	Texas, USA	.	.
Mustang Island, Nueces County, Texas, USA	27.710985	-97.150114	.	.	Mustang Island	.	Nueces County, Texas, USA	.	.
Orange, Orange County, Texas, USA	30.012463	-93.763017	.	.	Orange	.	Orange County, Texas, USA	.	.
Port Aransas, Mustang Island, Nueces County, Texas, USA	27.839216	-97.062429	.	.	Port Aransas	.	Mustang Island, Nueces County, Texas, USA	.	.
Port Arthur, Jefferson County, Texas, USA	29.880381	-93.911741	.	.	Port Arthur	.	Jefferson County, Texas, USA	.	.
Santa Rosa, Cameron County, Texas, USA	26.242541	-97.407710	.	.	Santa Rosa	.	Cameron County, Texas, USA	.	.
South Deer Island, Galveston County, Texas, USA	29.272090	-94.911740	.	.	South Deer Island	.	Galveston County, Texas, USA	.	.
Southern Texas, USA	27.813063	-97.393187	.	Using Corpus Christi	Southern Texas	.	Texas, USA	.	.
Upper Laguna Madre, Texas, USA	26.668912	-97.414224	.	Using Laguna Madre	Upper Laguna Madre	.	Laguna Madre, Texas, USA	.	.
Bangkok, Thailand	13.750000	100.466667	.	.	Bangkok	.	East coast of Thailand	.	.
Chachoengsao, Thailand	13.500923	100.980722	.	.	Chachoengsao	.	East coast of Thailand	.	.
Phang-nga, Thailand	8.558410	98.216070	.	.	Phang-nga	.	West coast of Thailand	.	.
Phuket Island, Thailand	7.890000	98.398333	.	.	Phuket Island	Salanga;Junk Ceylon;Puket	West coast of Thailand	.	.
Prachuap Khiri Khan, Thailand	11.738125	99.810907	.	.	Prachuap Khiri Khan	.	East coast of Thailand	.	.
Ranong, Thailand	9.896901	98.567269	.	.	Ranong	.	West coast of Thailand	.	.
Samut Sakhon, Thailand	13.541382	100.274431	.	.	Samut Sakhon	.	East coast of Thailand	.	.
Samut Songkhram, Thailand	13.380161	99.986848	.	.	Samut Songkhram	.	East coast of Thailand	.	.
Songkhla, Thailand	7.206111	100.596667	.	.	Songkhla	Singora	East coast of Thailand	.	.
Surat Thani, Thailand	9.237227	99.246236	.	.	Surat Thani	.	East coast of Thailand	.	.
Trang, Thailand	7.315592	99.505483	.	.	Trang	.	West coast of Thailand	.	.
Trat, Thailand	12.164811	102.470747	.	.	Trat	.	East coast of Thailand	.	.
West coast of Thailand	7.336770	99.356582	.	.	West coast of Thailand	.	Thailand	Indian Ocean	.
Andros, The Bahamas	24.433333	-77.950000	.	.	Andros	.	The Bahamas	.	.
Bimini, The Bahamas	25.733333	-79.250000	.	.	Bimini	.	The Bahamas	.	.
New Providence, The Bahamas	25.033333	-77.400000	.	.	New Providence	.	The Bahamas	.	.
Rum Cay, The Bahamas	23.678379	-74.858402	.	.	Rum Cay	.	The Bahamas	.	.
San Salvador, The Bahamas	24.039268	-74.497222	.	.	San Salvador	.	The Bahamas	.	.
Tongatapu, Tonga	-21.211389	-175.153056	.	.	Tongatapu	Tongatabu	Tonga	.	.
Pak Meng Beach, Trang, Thailand	7.486946	99.330620	.	.	Pak Meng Beach	.	Trang, Thailand	.	.
Sikao Creek Estuary, Trang, Thailand	7.540419	99.314329	.	.	Sikao Creek Estuary	.	Trang, Thailand	.	.
Ko Chang, Trat, Thailand	12.052453	102.327764	.	.	Ko Chang	.	Trat, Thailand	.	.
Tambalagam Bay, Trincomalee, Sri Lanka	8.506922	81.189593	.	.	Tambalagam Bay	.	Trincomalee, Sri Lanka	.	.
Tobago	11.249587	-60.663558	.	.	Tobago	.	Trinidad and Tobago	.	.
Trinidad	10.408617	-61.281522	.	.	Trinidad	.	Trinidad and Tobago	.	.
Disappointment Islands, Tuamotu Islands, French Polynesia	-14.495797	-140.118794	.	.	Disappointment Islands	.	Tuamotu Islands, French Polynesia	.	.
Moruroa, Far East Tuamotu Group, Tuamotu Islands, French Polynesia	-21.833333	-138.833333	.	.	Moruroa	.	Far East Tuamotu Group, Tuamotu Islands, French Polynesia	.	.
Raeffsky Islands, Tuamotu Islands, French Polynesia	-16.750000	-144.233333	.	.	Raeffsky Islands	.	Tuamotu Islands, French Polynesia	.	.
Boca Raton, Palm Beach County, Florida, USA	26.358028	-80.072241	.	.	Boca Raton	.	Palm Beach County, Florida, USA	.	.
Funafuti, Tuvalu	-8.500000	179.183333	.	.	Funafuti	.	Tuvalu	.	.
Saint Croix, U.S. Virgin Islands	17.739722	-64.738889	.	.	Saint Croix	.	U.S. Virgin Islands	.	.
Saint Thomas, U.S. Virgin Islands	18.333333	-64.916667	.	.	Saint Thomas	.	U.S. Virgin Islands	.	.
Odessa, Ukraine	46.466667	30.733333	Milne Edwards reported an occurrence of a species from Odessa. Fiddler crabs are clearly not found in the Black Sea, so either the location was wrong or he was referring to another unidentified location of the same name.	.	Odessa	.	Ukraine	.	X
Khor Al Hamra, United Arab Emirates	25.692998	55.781568	.	.	Khor Al Hamra	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Khor Al Hamriyah, United Arab Emirates	25.473531	55.494217	.	.	Khor Al Hamriyah	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Khor Julfar, United Arab Emirates	25.865219	56.000958	Location uncertain, but likely in the greater Ras Al-Khaimah area	.	Khor Julfar	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Khor Kalba, United Arab Emirates	25.001247	56.365631	.	A creek/mangrove swamp, south of Kalba, near Oman border	Khor Kalba	.	United Arab Emirates	Gulf of Oman coast of United Arab Emirates	.
Khor Khuwayr, United Arab Emirates	25.967222	56.054444	.	.	Khor Khuwayr	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Khor Zawah, United Arab Emirates	25.429658	55.471515	Location a guess	.	Khor Zawah	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Ras Al-Khaimah Khor, United Arab Emirates	25.778899	55.960399	.	.	Ras Al-Khaimah Khor	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Umm AI Quwain, United Arab Emirates	25.552605	55.588158	.	.	Umm AI Quwain	.	United Arab Emirates	Persian Gulf coast of United Arab Emirates	.
Alabama, USA	30.459862	-87.980753	.	.	Alabama	.	United States	Gulf coast of United States;Northeastern Gulf of Mexico	.
Atlantic coast of United States	36.549839	-75.915700	.	Point near Virginia/North Carolina border	Atlantic coast of United States	.	Atlantic and Gulf coasts of United States	.	.
California, USA	32.704907	-117.167232	.	Using San Diego	California	.	United States	Pacific coast of United States	.
Connecticut, USA	41.265838	-72.633911	.	.	Connecticut	.	United States	Atlantic coast of United States;New England, USA	.
Delaware Bay, USA	39.132398	-75.255531	.	.	Delaware Bay	.	United States	Atlantic coast of United States	.
Delaware, USA	39.132398	-75.255531	.	Using Delaware Bay	Delaware	.	United States	Atlantic coast of United States	.
St. Lucie County, Florida, USA	27.405245	-80.308006	.	.	St. Lucie County	.	Florida, USA	East coast of Florida, USA	.
Georgia, USA	31.477500	-81.241667	.	Using Sapelo Island	Georgia	.	United States	Atlantic coast of United States;Southeastern United States	.
Hawaii, USA	21.466667	-157.983333	.	.	Hawaii	Sandwich Islands	United States	Polynesia	X
Louisiana, USA	29.353601	-90.485375	.	.	Louisiana	.	United States	Gulf coast of United States;Northeastern Gulf of Mexico	.
Maryland, USA	38.321631	-76.458463	.	Using Solomons Island	Maryland	.	United States	Atlantic coast of United States	.
Massachusetts, USA	41.719774	-70.255237	.	Using Cape Cod	Massachusetts	.	United States	Atlantic coast of United States;New England, USA	.
Mississippi, USA	30.369367	-88.809741	.	Using Biloxi Bay	Mississippi	.	United States	Gulf coast of United States;Northeastern Gulf of Mexico	.
New England, USA	41.524841	-70.672411	.	Using Woods Hole	New England	.	United States	Atlantic coast of United States	.
New Hampshire, USA	42.924167	-70.820278	.	.	New Hampshire	.	United States	Atlantic coast of United States;New England, USA	.
New Jersey, USA	39.510000	-74.365278	.	Using Great Bay	New Jersey	.	United States	Atlantic coast of United States	.
New York, USA	40.712778	-74.005833	.	Using NYC	New York	.	United States	Atlantic coast of United States	.
North Carolina, USA	34.716667	-76.650000	.	Using Beaufort	North Carolina	.	United States	Atlantic coast of United States;Southeastern United States	.
Pacific coast of United States	32.704907	-117.167232	.	Using San Diego	Pacific coast of United States	.	United States	North America;Pacific coast of North America	.
Rhode Island, USA	41.538222	-71.419959	.	.	Rhode Island	.	United States	Atlantic coast of United States;New England, USA	.
South Carolina, USA	33.367500	-79.293889	.	Using Georgetown	South Carolina	.	United States	Atlantic coast of United States;Southeastern United States	.
Southeastern United States	32.016667	-81.116667	.	Using Savannah	Southeastern United States	.	United States	Atlantic coast of United States	.
Texas, USA	29.287694	-94.809340	.	Using Galveston	Texas	.	United States	Gulf coast of United States;Northeastern Gulf of Mexico	.
Virginia, USA	36.995833	-75.959444	.	Using Chesapeake Bay	Virginia	.	United States	Atlantic coast of United States	.
Washington, USA	46.966978	-123.882291	.	.	Washington	.	United States	Pacific coast of United States	X
La Sierra, Uruguay	-34.883611	-56.181944	.	Using Montevideo	La Sierra	.	Uruguay	.	.
Puerto El Triunfo, Usulután, El Salvador	13.272169	-88.552298	.	.	Puerto El Triunfo	.	Usulután, El Salvador	.	.
La Ensenada de Utría, Utría, Chocó, Colombia	6.028805	-77.351986	.	.	La Ensenada de Utría	.	Utría, Chocó, Colombia	.	.
Espiritu Santo, Vanuatu	-15.320285	166.926771	.	.	Espiritu Santo	.	Vanuatu	.	.
Cumana, Sucre, Venezuela	10.435408	-64.198139	.	.	Cumana	.	Sucre, Venezuela	.	.
Isla Cotorra, Delta Amacuro, Venezuela	10.039549	-62.261338	.	.	Isla Cotorra	.	Delta Amacuro, Venezuela	.	.
Isla de Cubagua, Nueva Esparta, Venezuela	10.820682	-64.188672	.	.	Isla de Cubagua	.	Nueva Esparta, Venezuela	.	.
Maracaibo, Zulia, Venezuela	10.689372	-71.615845	.	.	Maracaibo	.	Zulia, Venezuela	.	.
Margarita Island, Nueva Esparta, Venezuela	10.971211	-64.006033	.	.	Margarita Island	.	Nueva Esparta, Venezuela	.	.
Pedernales, Delta Amacuro, Venezuela	9.944104	-62.014593	.	.	Pedernales	.	Delta Amacuro, Venezuela	.	.
Puerto Cabello, Carabobo, Venezuela	10.481722	-68.004728	.	.	Puerto Cabello	.	Carabobo, Venezuela	.	.
San Juan River, Venezuela	10.139341	-62.617509	Border of Sucre and Monagas	.	San Juan River (Venezuela)	.	Venezuela	.	.
Sucre, Venezuela	10.682840	-63.260310	State	.	Sucre	.	Venezuela	.	.
Boca del Rio, Veracruz, Mexico	19.108061	-96.101553	.	Gulf of Mexico	Boca del Rio	.	Veracruz, Mexico	.	.
Casitas, Veracruz, Mexico	20.257175	-96.797832	.	Gulf of Mexico	Casitas	.	Veracruz, Mexico	.	.
Laguna Tamiahua, Veracruz, Mexico	21.607123	-97.549682	.	.	Laguna Tamiahua	.	Veracruz, Mexico	.	.
Nautla, Veracruz, Mexico	20.221387	-96.777044	.	Gulf of Mexico	Nautla	.	Veracruz, Mexico	.	.
Esquimalt Harbor, Victoria, British Columbia, Canada	48.428197	-123.466956	.	.	Esquimalt Harbor	.	Victoria, British Columbia, Canada	.	X
Bahía Bioluminiscente, Vieques, Puerto Rico	18.103132	-65.451465	.	.	Bahía Bioluminiscente	.	Vieques, Puerto Rico	.	.
Laguna Kiani, Vieques, Puerto Rico	18.114735	-65.560946	.	.	Laguna Kiani	.	Vieques, Puerto Rico	.	.
Bang La Mangrove Forest, Haiphong, Vietnam	20.772778	106.668592	.	coords from paper	Bang La Mangrove Forest	.	Haiphong, Vietnam	.	.
Da Nang, Vietnam	16.066667	108.233333	.	.	Da Nang	Tourane	Vietnam	.	.
Ho Chi Minh City, Vietnam	10.671006	106.739144	.	.	Ho Chi Minh City	Saigon	Vietnam	.	.
Nha Trang, Khánh Hòa Province, Vietnam	12.261160	109.198883	.	.	Nha Trang	.	Khánh Hòa Province, Vietnam	.	.
Thanh Hóa Province, Vietnam	19.771994	105.862526	.	.	Thanh Hóa Province	Phúc Sơn	Vietnam	.	.
Tonkin, Vietnam	20.863257	106.875313	.	.	Tonkin	Red River Delta	Vietnam	.	.
Xuan Thuy National Park, Nam Định Province, Vietnam	20.252319	106.573733	.	.	Xuan Thuy National Park	.	Nam Định Province, Vietnam	.	.
Chesapeake Bay, USA	36.995833	-75.959444	.	.	Chesapeake Bay	.	United States	Atlantic coast of United States	.
Fort Wool, Virginia, USA	36.986667	-76.301111	.	.	Fort Wool	.	Virginia, USA	.	.
Northampton County, Virginia, USA	37.300000	-75.930000	.	.	Northampton County	.	Virginia, USA	.	.
Saxis, Accomack County, Virginia, USA	37.925833	-75.723056	.	.	Saxis	.	Accomack County, Virginia, USA	.	.
Wallops Island, Accomack County, Virginia, USA	37.850000	-75.466667	.	.	Wallops Island	.	Accomack County, Virginia, USA	.	.
York River, Virginia, USA	37.270698	-76.534123	.	.	York River	.	Virginia, USA	.	.
Wallis, Wallis and Futuna	-13.266667	176.200000	.	.	Wallis	.	Wallis and Futuna	.	.
Halalo, Wallis, Wallis and Futuna	-13.343563	-176.218616	.	.	Halalo	.	Wallis, Wallis and Futuna	.	.
Seattle, King County, Washington, USA	47.609722	-122.333056	.	.	Seattle	.	King County, Washington, USA	.	X
Sundarbans, South 24 Parganas, West Bengal, India	21.931945	88.908716	.	.	Sundarbans (India)	.	South 24 Parganas, West Bengal, India	.	.
Bedford Islands, Kimberley, Western Australia, Australia	-16.161854	123.341315	.	.	Bedford Islands	.	Kimberley, Western Australia, Australia	.	.
Broome, Western Australia, Australia	-17.961944	122.236111	.	.	Broome	.	Western Australia, Australia	Northwestern Australia	.
Dampier, Western Australia, Australia	-20.654818	116.708354	.	.	Dampier	.	Western Australia, Australia	Northwestern Australia	.
Derby, Kimberley, Western Australia, Australia	-17.223067	123.572587	.	.	Derby	.	Kimberley, Western Australia, Australia	.	.
Houtman Abrolhos, Western Australia, Australia	-28.716667	113.783333	.	Off the west coast of Australia	Houtman Abrolhos	Abrolhos Islands	Western Australia, Australia	.	.
Kimberley, Western Australia, Australia	-14.552915	125.324486	Northwestern coast of Australia between Broome and the Northern Territory	.	Kimberley	.	Western Australia, Australia	Northern Australia	.
Koolan Island, Kimberley, Western Australia, Australia	-16.132091	123.761259	.	.	Koolan Island	Kollan Island	Kimberley, Western Australia, Australia	.	.
Lacrosse Island, Kimberley, Western Australia, Australia	-14.749666	128.313235	.	.	Lacrosse Island	.	Kimberley, Western Australia, Australia	.	.
Mangrove Bay, Western Australia, Australia	-21.971533	113.940202	.	.	Mangrove Bay	.	Western Australia, Australia	Northwestern Australia	.
