(1983)	anonymous1983	Chinese
Guérin-Méneville (1830)	GuerinMeneville1830	French
Guérin-Méneville (?)	GuerinMeneville_nd	French
Guest et al. (2004)	Guest2004	
Guinot (1966)	Guinot1966	French
Guinot (1979)	Guinot1979	French
Guinot & Ribeiro (1962)	Guinot1962	
Guinot-Dumortier (1959)	GuinotDumortier1959	French
Guinot-Dumortier & Dumortier (1960)	GuinotDumortier1960	French [with English abstract/summary]
Gulmann (2004)	Gulmann2004	English
Gulmann & Mullineaux (2001)	Gulmann2001	English
Gundlach (1887)	Gundlach1887	Spanish
Günther (1963)	Gunther1963	German
Gurney (1942)	Gurney1942	English
Gurney (1960)	Gurney1960	English
Gusmão-Junior et al. (2012)	GusmaoJunior2012	
Gutierrez West (2012)	GutierrezWest2012	English
Guyselman (1950)	Guyselman1950	English
Guyselman (1952)	Guyselman1952	English
Guyselman (1953)	Guyselman1953	English
Habe et al. (1983)	Habe1983	Japanese
Hackney & de la Cruz (1981)	Hackney1981	English
Haefner (1985)	Haefner1985	English
Hagen & Zou (2017)	Hagen2017	English
Hagen & Zou (2017)	Hagen2017.2	English
Hailman (1977)	Hailman1977	English
Haines (1976)	Haines1976	English
Haines & Montague (1979)	Haines1979	
Hake & Teller (1983)	Hake1983	
Hall (1985)	Hall1985.3	English
Hall (1985)	Hall1985.1	
Hall (1985)	Hall1985.2	
Hammerstein (1981)	Hammerstein1981	
Hampton et al. (2014)	Hampton2014	English
Haney & Pope (2007)	Haney2007	English
Hanke et al. (1992)	Hanke1992	
Hannan & Evans (1973)	Hannan1973	English
Hanson et al. (2002)	Hanson2002	English
Hanström (1935)	Hanstrom1935	English
Hantson-Parker (1985)	HantsonParker1985	English
Hanumante et al. (1984)	Hanumante1984	English
Hanumante & Fingerman (1981)	Hanumante1981.1	
Hanumante & Fingerman (1981)	Hanumante1981.3	English
Hanumante & Fingerman (1981)	Hanumante1981.2	
Hanumante & Fingerman (1982)	Hanumante1982.4	
Hanumante & Fingerman (1982)	Hanumante1982.3	
Hanumante & Fingerman (1982)	Hanumante1982.7	English
Hanumante & Fingerman (1982)	Hanumante1982.6	
Hanumante & Fingerman (1982)	Hanumante1982.2	
Hanumante & Fingerman (1982)	Hanumante1982.1	
Hanumante & Fingerman (1982)	Hanumante1982.5	
Hanumante et al. (1981)	Hanumante1981.4	
Hanumante et al. (1980)	Hanumante1980	English
Harada (1993)	Harada1993	English
Haresign (1986)	Haresign1986	
Haresign et al. (1996)	Haresign1996	
Hariharan (1966)	Hariharan1966	English
Harkema & Miller (1962)	Harkema1962	English
Haroski (2008)	Haroski2008	English
Harper & Williams (1985)	Harper1985	
Harrington & Bidlingmayer (1958)	Harrington1958	English
Harris et al. (1998)	Harris1998	English
Hartnoll (1969)	Hartnoll1969	English [with German abstract/summary]
Hartnoll (1973)	Hartnoll1973	English
Hartnoll (1974)	Hartnoll1974	English [with French abstract/summary]
Hartnoll (1975)	Hartnoll1975	English
Hartnoll (1982)	Hartnoll1982	English
Hartnoll (1985)	Hartnoll1985	English
Hartnoll (1988)	Hartnoll1988.1	English
Hartnoll (1988)	Hartnoll1988.2	English
Hartnoll (1988)	Hartnoll1988.3	English
Hartnoll (2006)	Hartnoll2006	
Harwitz et al. (1983)	Harwitz1983	English
Hasegawa et al. (1993)	Hasegawa1993	English
Hasek & Felder (2006)	Hasek2006	
Hasek & Rabalais (2001)	Hasek2001	
Hashmi (1971)	Hashmi1971	
Hashmi (1968)	Hashmi1968	
Hashmi (1970)	Hashmi1970	
Haswell (1882)	Haswell1882	English
Hay & Shore (1915-1916)	Hay1915	English
Hayes et al. (2013)	Hayes2013	
Hayes et al. (2016)	Hayes2016	English
Hazlett (1972)	Hazlett1972	English
Headstrom (1979)	Headstrom1979	English
Healy & Yaldwyn (1970)	Healy1970	
Heard (1967)	Heard1967	English
Heard (1970)	Heard1970	English
Heard (1975)	Heard1975	English
Heard (1976)	Heard1976	English
Heard (1977)	Heard1977	English
Heard (1982)	Heard1982	English
Heard & Kinsella (1995)	Heard1995	English
Heard & Overstreet (1983)	Heard1983	English
Hebets et al. (2014)	Hebets2014	English
Hedgecock et al. (1982)	Hedgecock1982	English
Hedgpeth (1950)	Hedgpeth1950	English
Hedgpeth (1953)	Hedgpeth1953	English
Hediger (1933)	Hediger1933	German
Hediger (1934)	Hediger1934.1	French
Hediger (1934)	Hediger1934.2	German
Hegarty & Kight (2014)	Hegarty2014	English
Heilprin (1888)	Heilprin1888	English
Heinrich (1971)	Heinrich1971	German [with English abstract/summary]
Heit (1974)	Heit1974	English
Heit & Fingerman (1973)	Heit1973	English
Heit & Fingerman (1975)	Heit1975	English
Heller (1861)	Heller1861	German
Heller (1862)	Heller1862.2	German
Heller (1862)	Heller1862.1	Latin
Heller (1863)	Heller1863	German
Heller (1865)	Heller1865	German
Hemmi (2005)	Hemmi2005.1	
Hemmi (2005)	Hemmi2005.2	
Hemmi et al. (2006)	Hemmi2006	
Hemmi & Merkle (2009)	Hemmi2009	
Hemmi & Pfeil (2010)	Hemmi2010	
Hemmi & Tomsic (2015)	Hemmi2015	English
Hemmi & Zeil (2003)	Hemmi2003.2	
Hemmi & Zeil (2003)	Hemmi2003.3	
Hemmi & Zeil (2003)	Hemmi2003.1	English
Hemmi & Zeil (2005)	Hemmi2005.3	
Henderson (1893)	Henderson1893	English
Hendrickx (1979)	Hendrickx1979	English
Hendrickx (1984)	Hendrickx1984	English [with Spanish abstract/summary]
Hendrickx (1995)	Hendrickx1995	English [with French abstract/summary]
Hendrickx & Salgado-Barragán (1992)	Hendrickx1992	English
Henmi (2003)	Henmi2003	
Henschel (1833)	Henschel1833	Latin
Herbst (1782)	Herbst1782	German
Herbst (1790)	Herbst1790	German
Herbst (1790)	Herbst1790.2	German
Herbst (1799)	Herbst1799	German
Herbst (1804)	Herbst1804	German
Herklots (1851)	Herklots1851	Latin
Herklots (1861)	Herklots1861	Dutch
Herman (1973)	Herman1973	English
Herman (1975)	Herman1975.1	English
Herman & Dallmann (1975)	Herman1975.2	English
Herman et al. (1977)	Herman1977	English
Hernández Aguilera et al. (1996)	HernandezAguilera1996	Spanish
Hernández Roa et al. (2009)	HernandezRoa2009	English
Herreid (1969)	Herreid1969	English
Herreid (1969)	Herreid1969.2	English
Herreid & Full (1988)	Herreid1988	English
Herreid & Mooney (1984)	Herreid1984	
Herrick (1887)	Herrick1887	English
Herrnkind (1965)	Herrnkind1965	English
Herrnkind (1966)	Herrnkind1966	English
Herrnkind (1967)	Herrnkind1967	English
Herrnkind (1968)	Herrnkind1968.3	English
Herrnkind (1968)	Herrnkind1968.2	English [with German abstract/summary]
Herrnkind (1968)	Herrnkind1968.1	English
Herrnkind (1972)	Herrnkind1972	English
Herrnkind (1983)	Herrnkind1983	English
Herrnkind et al. (1968)	Herrnkind1968	English
Herter (1927)	Herter1927	German
Hess (1865)	Hess1865	German
Hesse (1910)	Hesse1910.1	German
Hester et al. (1991)	Hester1991	
Hildebrand (1958)	Hildebrand1958	Spanish
Hilgendorf (1869)	Hilgendorf1869	German
Hilgendorf (1878)	Hilgendorf1878	German
Hilgendorf (1882)	Hilgendorf1882	German
Hillman (1965)	Hillman1964	English
Hines (1982)	Hines19982	
Hines (1953)	Hines1953	English
Hines (1954)	Hines1954	English
Hinsch (1989)	Hinsch1989	English
Hinsch (1991)	Hinsch1991	English
Hinton (1969)	Hinton1969	English
Hippensteel (2008)	Hippensteel2008	
Hippensteel & Martin (2001)	Hippensteel2001	English
Hirose et al. (2010)	Hirose2010	
Hirose et al. (2013)	Hirose2013	English
Hirsch (1984)	Hirsch1984	
Ho et al. (1993)	Ho1993	
Hoadley (1937)	Hoadley1937	English
Hockett & Kritzler (1972)	Hockett1972	English
Hockey (1996)	Hockey1996	
Hodgson (1987)	Hodgson1987	English
Hoese & Valentine (1972)	Hoese1972	English
Hoffert et al. (1975)	Hoffert1975	English
Hoffman et al. (1984)	Hoffman1984	
Hoffmann (1874)	Hoffmann1874	German
Hogarth (1986)	Hogarth1986	English
Hogarth (1989)	Hogarth1989	
Hogarth (1999)	Hogarth1999	English
Hogarth (2001)	Hogarth2001	German
Hogarth (2007)	Hogarth2007	
Hogarth & Beech (2002)	Hogarth2002	English
Hogarth & Beech (2005)	Hogarth2005	English
Hogue & Bright (1971)	Hogue1971	
Holdredge et al. (2010)	Holdredge2010	
Holliday (1985)	Holliday1985	
Holman et al. (2014)	Holman2014	English
Holmes (1900)	Holmes1900	English
Holmes (1904)	Holmes1904	English
Holmes (1908)	Holmes1908	English
Holmquist (1989)	Holmquist1989	English
Holthuis (1954)	Holthuis1954.2	Spanish
Holthuis (1954)	Holthuis1954.1	English
Holthuis (1956)	Holthuis1956	English
Holthuis (1958)	Holthuis1958	English
Holthuis (1959)	Holthuis1959.1	English
Holthuis (1959)	Holthuis1959.2	English
Holthuis (1959)	Holthuis1959.3	English
Holthuis (1962)	Holthuis1962	English
Holthuis (1967)	Holthuis1967	English
Holthuis (1967)	Holthuis1967.2	Dutch
Holthuis (1978)	Holthuis1978	
Holthuis (1979)	Holthuis1979	
Holthuis (1993)	Holthuis1993.2	English
Holthuis (1993)	Holthuis1993	English and Japanese
Holthuis (2002)	Holthuis2002	
Honegger (1973)	Honegger1973.2	English
Honegger (1973)	Honegger1973.1	English
Honegger (1976)	Honegger1976	English
Hootsmans et al. (1993)	Hootsmans1993	
Hopkins (2010)	Hopkins2010.1	English
Hopkins et al. (2016)	Hopkins2016	English
Hopkins & Thurman (2007)	Hopkins2007.2	English
Hopkins & Thurman (2010)	Hopkins2010.2	
Hopkins (1981)	Hopkins1981	English
Hopkins (1982)	Hopkins1982.2	English
Hopkins (1982)	Hopkins1982.1	
Hopkins (1983)	Hopkins1983.1	
Hopkins (1985)	Hopkins1985.2	English
Hopkins (1985)	Hopkins1985.1	English
Hopkins (1986)	Hopkins1986.1	
Hopkins (1988)	Hopkins1988	
Hopkins (1989)	Hopkins1989.2	English
Hopkins (1989)	Hopkins1989.1	
Hopkins (1989)	Hopkins1989.3	English
Hopkins (1992)	Hopkins1992	
Hopkins (1993)	Hopkins1993	
Hopkins (1994)	Hopkins1994.1	English
Hopkins (1996)	Hopkins1996	English
Hopkins (1999)	Hopkins1999.1	English
Hopkins (2001)	Hopkins2001	
Hopkins (2003)	Hopkins2003.1	English
Hopkins et al. (1999)	Hopkins1999.2	
Hopkins & Durica (1995)	Hopkins1995	
Hopkins et al. (1994)	Hopkins1994.2	English
Hopkins et al. (1997)	Hopkins1997	English
Hopkins et al. (2010)	Hopkins2010.3	English
Hopkins et al. (2007)	Hopkins2007.1	English
Hopkins et al. (2008)	Hopkins2008	
Hopkins et al. (2003)	Hopkins2003.2	English
Hopkins & Mislan (1986)	Hopkins1986.2	English
Hopkins & Watson (1983)	Hopkins1983.2	English
Horch & Salmon (1969)	Horch1969	English
Horch et al. (1980)	Horch1980	
Horch et al. (2002)	Horch2002	
Horii et al. (2001)	Horii2001	
Horikawa (1940)	Horikawa1940	
Hornby (1997)	Hornby1997	English
Horst (1995)	Horst1995	
Hosoya et al. (1993)	Hosoya1993	
Hotard & Zou (2013)	Hotard2013.2	English
Hotard & Zou (2013)	Hotard2013.1	English
Hotard & Zou (2008)	Hotard2008	English
Houser & Allen (1996)	Houser1996	
Houser (2006)	Houser2006	English
Houser & Epifanio (2009)	Houser2009	
Hovel & Morgan (1997)	Hovel1997	
Hovel & Morgan (1999)	Hovel1999	
How et al. (2014)	How2014	English
How et al. (2015)	How2015	English
How & Hemmi (2008)	How2008.1	
How & Hemmi (2008)	How2008.2	
How et al. (2008)	How2008.3	
How et al. (2012)	How2012	
How et al. (2007)	How2007	
How et al. (2009)	How2009	
Howell et al. (1972)	Howell1972	English
Hsiang & Premuzic (1975)	Hsiang1975	English
Hsieh et al. (2002)	Hsieh2002	
Huang et al. (1989)	Huang1989	
Huang et al. (2007)	Huang2007	
Huang & Shih (1995)	Huang1995	
Huang et al. (2014)	Huang2014	English
Hubbard & Dugan (1989)	Hubbard1989	English
Huebner et al. (2015)	Huebner2015	
Hueftle (1977)	Hueftle1977	English
Huet (2000)	Huet2000	
Huet et al. (2002)	Huet2002	
Hughes et al. (2014)	Hughes2014	English
Hughes (1966)	Hughes1966	English
Hughes & Seed (1995)	Hughes1995	
Hugie (1999)	Hugie1999	English
Hugie (2004)	Hugie2004	
Hui & Williams (2017)	Hui2017	English
Hult (1939)	Hult1939	English
Hung & Lin (2015)	Hung2015	Chinese and English
Hunter & Feller (1987)	Hunter1987	English
Hunter (1952)	Hunter1952	English
Hunter & Vernberg (1953)	Hunter1953	
Hunter & Vernberg (1957)	Hunter1957	English
Hutton (1964)	Hutton1964	English
Huxley (1924)	Huxley1924.1	English
Huxley (1924)	Huxley1924.2	English
Huxley (1927)	Huxley1927	English
Huxley (1932)	Huxley1932	English
Huxley & Callow (1933)	Huxley1933	English [with German abstract/summary]
Hwang et al. (2015)	Hwang2015	
Hwang & Oswald (1982)	Hwang1982	English
Hyatt (1973)	Hyatt1973	English
Hyatt (1974)	Hyatt1974	English
Hyatt (1975)	Hyatt1975	English
Hyatt (1977)	Hyatt1977.1	English
Hyatt (1977)	Hyatt1977.2	English
Hyatt (1983)	Hyatt1983	
Hyatt & Salmon (1978)	Hyatt1978	
Hyatt & Salmon (1979)	Hyatt1979.1	English [with German abstract/summary]
Hyatt et al. (1979)	Hyatt1979.2	
Hyman (1920)	Hyman1920.1	English
Hyman (1920)	Hyman1920.2	English
Hyun et al. (2003)	Hyun2003	English
Hywel-Davies (1994)	HywelDavies1994	
Icely & Jones (1978)	Icely1978	
ICZN (1959)	ICZN1959	English
ICZN (1964)	ICZN1964	English
ICZN (1971)	ICZN1971	English
ICZN (1983)	ICZN1983	English
Ida & Wada (2017)	Ida2017	English
Idaszkin et al. (2013)	Idaszkin2013	
Idha (1998)	Idha1998	
Iguchi & Nishihira (1994)	Iguchi1994	
Iguchi et al. (1997)	Iguchi1997	
Ikeda et al. (2004)	Ikeda2004	
Ikeda et al. (2003)	Ikeda2003	English
Imajima (1970)	Imajima1970	Japanese
Imamura et al. (2011)	Imamura2011	Japanese [with English abstract/summary]
Innes & Taylor (1987)	Innes1987	
Iribarne & Martinez (1999)	Iribarne1999	
Irie et al. (2005)	Irie2005	Japanese [with English abstract/summary]
Irvine (1932)	Irvine1932	English
Irvine (1947)	Irvine1947	English
Ismail et al. (1991)	Ismail1991	
Ismail & Ahmed (1993)	Ismail1993	English
Ismail (1990)	Ismail1990	English
Ismail & Mykles (1986)	Ismail1986	English
Ismail & Mykles (1987)	Ismail1987	English
Ismail & Mykles (1992)	Ismail1992	
Ives (1891)	Ives1891	English
Izumi et al. (2016)	Izumi2016	English
Jacquinot (1846)	Jacquinot1846	French
Jacquinot & Lucas (1855)	Jacquinot1855	French
Jadhav & Deecaraman (2000)	Jadhav2000	
Jadhav & Ragunathan (1999)	Jadhav1999.1	
Jadhav et al. (1997)	Jadhav1997	
Jadhav et al. (1999)	Jadhav1999.2	
Jadhav et al. (2001)	Jadhav2001	
Jamieson (1991)	Jamieson1991	English
Jamieson (1994)	Jamieson1994	English
Jamieson & Tudge (2000)	Jamieson2000	English
Jansen (1970)	Jansen1970	German [with English abstract/summary]
Jaramillo & Lunecke (1988)	Jaramillo1988	
Jaroensutasinee & Jaroensutasinee (2003)	Jaroensutasinee2003	
Jaroensutasinee & Jaroensutasinee (2004)	Jaroensutasinee2004	
Jaroensutasinee & Tantichodok (2002)	Jaroensutasinee2002	English
Jaros (1990)	Jaros1990	
Jeng (1998)	Jeng1998	Chinese
Jennions & Backwell (1996)	Jennions1996	
Jennions & Backwell (1998)	Jennions1998	
Jennions et al. (2003)	Jennions2003	
Jensen (1995)	Jensen1995	
Jensen & Egnotovich (2015)	Jensen2015	English
Jimenez & Bennett (2005)	Jimenez2005	
Jimenez & Bennett (2007)	Jimenez2007	
Jobert (1875)	Jobert1875	French
Jobert (1876)	Jobert1876	French
Johnson (1974)	Johnson1974	English
Johnson (1985)	Johnson1985	
Johnson (2014)	Johnson2014	English
Johnson & Snook (1927)	Johnson1927	English
Johnson & Snook (1955)	Johnson1955	English
Johnson (1983)	Johnson1983	English
Johnson (2003)	Johnson2003	
Johnson et al. (1990)	Johnson1990	
Johnston (1906)	Johnston1906	English
Johnston & Bildstein (1985)	Johnston1985	English
Johnston & Bildstein (1986)	Johnston1986	English
Johnston et al. (1984)	Johnston1984	English
Jones (1980)	Jones1980	
Jones (1986)	Jones1986	
Jones & George (1982)	Jones1982	
Jones & Morton (1994)	Jones1994	English
Jones (1968)	Jones1968	English
Jones (1941)	Jones1941	English
Jones & Epifanio (1995)	Jones1995	
Jones & Epifanio (2005)	Jones2005	
Jones et al. (2011)	Jones2011	English
Jonston (1650)	Jonston1650	Latin
Jordá & Roccatagliata (2002)	Jorda2002	
Jordão et al. (2007)	Jordao2007.1	
Jordão et al. (2007)	Jordao2007.2	
Jordão & Oliveira (2001)	Jordao2001.1	
Jordão & Oliveira (2001)	Jordao2001.2	
Jordão & Oliveira (2003)	Jordao2003	English
Jordão & Oliveira (2005)	Jordao2005	
Jorenby et al. (1987)	Jorenby1987	
Jousset de Bellesme (1906)	JoussetdeBellesme1906	French
Kaden (1991)	Kaden1991	German
Kahn et al. (2013)	Kahn2013	
Kahn et al. (2014)	Kahn2014	English
Kaini et al. (2012)	Kaini2012	English
Kaiser & Lehmann (1975)	Kaiser1975	English
Kalik (1958)	Kalik1958.2	English
Kalik (1958)	Kalik1958.1	English
Kamita (1935)	Kamita1935	Japanese [with English abstract/summary]
Kamita (1941)	Kamita1941	
Kamran & Moore (2015)	Kamran2015	
Kanchanaphum et al. (1998)	Kanchanaphum1998	English
Karagozlu et al. (2016)	Karagozlu2016	English
Katz (1980)	Katz1980	
Kaufmann & Barnwell (1985)	Kaufmann1985	English
Kawaminami & Goshima (2015)	Kawaminami2015	English
Kawano & Henmi (2016)	Kawano2016	English
Kawasaki et al. (2008)	Kawasaki2008	
Ke et al. (1985)	Ke1985	Chinese [with English abstract/summary]
Keller (1977)	Keller1977	English
Keller & Andrew (1973)	Keller1973	English
Keller & Wunderer (1978)	Keller1978	English
Kellmeyer (1999)	Kellmeyer1999	English
Kellmeyer & Salmon (2001)	Kellmeyer2001	
Kellogg (1928)	Kellogg1928	English
Kemp (1915)	Kemp1915	English
Kemp (1918)	Kemp1918	English
Kennedy (1984)	Kennedy1984	
Kerr (2015)	Kerr2015	English
Kerr et al. (2012)	Kerr2012	
Kerr et al. (2010)	Kerr2010	English
Kerr et al. (2014)	Kerr2014	English
Kersten (1974)	Kersten1974	German
Kerstitch (1989)	Kerstitch1989	English
Kerwin (1971)	Kerwin1971	English
Khambadakone et al. (2011)	Khambadakone2011	English
Khoury (2005)	Khoury2005	English
Khoury et al. (2009)	Khoury2009	
Kiatpathomchai et al. (2008)	Kiatpathomchai2008	
Kim & Yu (2012)	Kim2012	English
Kim (1973)	Kim1973	
Kim et al. (2005)	Kim2005.1	
Kim (2010)	Kim2010.1	
Kim & Choe (2003)	Kim2003.1	
Kim & Choe (2003)	Kim2003.2	English
Kim & Christy (2015)	Kim2015	English
Kim et al. (2004)	Kim2004.1	
Kim et al. (2006)	Kim2006	English
Kim et al. (2007)	Kim2007	
Kim et al. (2009)	Kim2009	
Kim et al. (2010)	Kim2010.2	
Kim et al. (2004)	Kim2004.3	
Kim et al. (2005)	Kim2005.2	English
Kim et al. (2010)	Kim2010.3	
Kim et al. (2017)	Kim2017	English
Kim et al. (2004)	Kim2004.2	English
Kim et al. (2008)	Kim2008	
Kim & Kim (1982)	Kim1982	
Kim & Kim (1995)	Kim1995	English
King (1969)	King1969.1	English
King & Siddall (1969)	King1969.2	English
Kinghorn (1924)	Kinghorn1924	English
Kingsley (1878)	Kingsley1878	English
Kingsley (1879)	Kingsley1879	English
Kingsley (1880)	Kingsley1880	English
Kingsley (1880)	Kingsley1880.2	English
Kingsley (1886)	Kingsley1886	English
Kingsley (1888)	Kingsley1888	English
Kinne (1963)	Kinne1963	English
Kinnear et al. (2009)	Kinnear2009	English
Kinsella (1974)	Kinsella1974	English
Kirk (1880)	Kirk1880	English
Kitaura et al. (1998)	Kitaura1998	
Klaas & Belisle (1977)	Klaas1977	English
Klaassen & Ens (1993)	Klaassen1993	
Klein et al. (1992)	Klein1992	
Klein & Lincer (1974)	Klein1974	English
Kleinholz (1936)	Kleinholz1936	English
Kleinholz (1942)	Kleinholz1942	English
Kleinholz (1961)	Kleinholz1961	English
Kleinholz (1965)	Kleinholz1965.2	English
Kleinholz (1970)	Kleinholz1970	English
Kleinholz (1972)	Kleinholz1972	English
Kleinholz (1975)	Kleinholz1975	English
Kleinholz (1976)	Kleinholz1976	English
Kleinholz (1985)	Kleinholz1985	English
Kleinholz & Bourquin (1941)	Kleinholz1941.1	English
Kleinholz & Bourquin (1941)	Kleinholz1941.2	English
Kleinholz & Keller (1973)	Kleinholz1973	English
Kleinholz & Kimball (1964)	Kleinholz1964	English
Kleinholz & Kimball (1965)	Kleinholz1965	English
Kleinholz et al. (1986)	Kleinholz1986	
Kneib et al. (1980)	Kneib1980	
Knell et al. (2013)	Knell2013	English
Knopf (1966)	Knopf1966	English
Knott et al. (1997)	Knott1997	
Knotts (2017)	Knotts2017	English
Knotts & Griffen (2016)	Knotts2016	English
Ko & Kim (1989)	Ko1989	
Kobayashi & Satake (2009)	Kobayashi2009	Japanese [with English abstract/summary]
Koch & Gillen (2004)	Koch2004	English
Koch (1999)	Koch1999	
Koch & Wolff (2002)	Koch2002	
Koch et al. (2005)	Koch2005	
Koelbel (1898)	Koelbel1898	German
Koga (1999)	Koga1999.1	Japanese
Koga et al. (2001)	Koga2001	
Koga et al. (1998)	Koga1998	
Koga et al. (1995)	Koga1995	
Koga et al. (2000)	Koga2000	
Koga et al. (1999)	Koga1999.2	
Komatsu (2011)	Komatsu2011	English
Kon et al. (2009)	Kon2009.1	English
Kon et al. (2007)	Kon2007	English
Kon et al. (2009)	Kon2009.2	English
Koranteng et al. (2000)	Koranteng2000	
Koretsky et al. (2002)	Koretsky2002.2	English
Koretsky et al. (2002)	Koretsky2002.1	
Koretsky et al. (2005)	Koretsky2005	
Korte (1965)	Korte1965	German [with English abstract/summary]
Korte (1966)	Korte1966	German
Kossmann (1877)	Kossmann1877	German
Kossmann (1878)	Kossmann1878	German
Kostka et al. (2002)	Kostka2002.1	
Kostka et al. (2002)	Kostka2002.2	
Kosuge et al. (1997)	Kosuge1997	
Kraeuter (1976)	Kraeuter1976	English
Kraeuter & Wolf (1974)	Kraeuter1974	English
Kraus (1982)	Kraus1982	English
Kraus (1984)	Kraus1984	English
Kraus & Lederhouse (1985)	Kraus1985	
Krauss (1843)	Krauss1843	German
Krebs (1976)	Krebs1976	English
Krebs & Burns (1977)	Krebs1977	English
Krebs & Valiela (1978)	Krebs1978	
Krebs et al. (1974)	Krebs1974	English
Krippeit-Drews (1987)	KrippeitDrews1987	English
Krippeit-Drews et al. (1989)	KrippeitDrews1989	
Krishnakumaran & Schneiderman (1968)	Krishnakumaran1968	English
Krishnakumaran & Schneiderman (1970)	Krishnakumaran1970	English
Krishnan (1990)	Krishnan1990.1	
Krishnan (1990)	Krishnan1990.2	
Krishnan (1992)	Krishnan1992.3	
Krishnan (1992)	Krishnan1992.1	
Krishnan (1992)	Krishnan1992.2	
Krishnan & Ramachandran (1990)	Krishnan1990.3	
Kristensen (2008)	Kristensen2008	
Kristensen & Alongi (2006)	Kristensen2006	
Kronstadt et al. (2013)	Kronstadt2013	English
Kropp & Crozier (1928)	Kropp1928	English
Kruitwagen et al. (2010)	Kruitwagen2010	
Krumme et al. (2008)	Krumme2008	
Krupp (1974)	Krupp1974	German
Kulkarni & Fingerman (1985)	Kulkarni1985	
Kulkarni & Fingerman (1986)	Kulkarni1986.1	
Kulkarni & Fingerman (1986)	Kulkarni1986.2	
Kulkarni & Fingerman (1987)	Kulkarni1987	
Kulkarni & Fingerman (1987)	Kulkarni1987.2	English
Kulkarni & Fingerman (1991)	Kulkarni1991	
Kulkarni & Fingerman (1992)	Kulkarni1992	
Kulkarni & Milton (1986)	Kulkarni1986.3	
Künckel d'Herculaïs (1890)	KunckeldHerculais1890	French
Kunze (1963)	Kunze1963	German
Kurata (1970)	Kurata1970	English
Kushan (1979)	Kushan1979	English
Kwok & Tang (2006)	Kwok2006	English
Lacerda (1976)	Lacerda1976	French [with English abstract/summary]
Lacerda (1980)	Lacerda1980	
Lacerda (1982)	Lacerda1982	Portuguese [with English abstract/summary]
Lacerda & Dias de Souza (1991)	Lacerda1991	
Lacerda & McNamara (1983)	Lacerda1983	
Lafontaine et al. (2016)	Lafontaine2016	English
Lailvaux et al. (2009)	Lailvaux2009	
Lalitha et al. (1996)	Lalitha1996	
Lallier & Walsh (1990)	Lallier1990	English
Lamarck (1801)	Lamarck1801	French
Lamarck (1818)	Lamarck1818	French
Lamarck (1838)	Lamarck1838	French
Lamarck (?)	Lamarck_nd	French
Lambert (1977)	Lambert1977	English
Lambert & Crowe (1973)	Lambert1973	English
Lambert & Crowe (1976)	Lambert1976.1	English
Lambert et al. (1975)	Lambert1975	English
Lambert & Fingerman (1976)	Lambert1976.2	English
Lambert & Fingerman (1978)	Lambert1978	English
Lambert & Epifanio (1982)	Lambert1982	
Lanchester (1900)	Lanchester1900.1	English
Lanchester (1900)	Lanchester1900.2	English
Lanchester (1902)	Lanchester1902	English
Land & Layne (1994)	Land1994	English
Land & Layne (1995)	Land1995.1	
Land & Layne (1995)	Land1995.2	
Landsperger et al. (1981)	Landsperger1981	
Landstorfer & Schubart (2010)	Landstorfer2010	English
Lane & Dodge (1958)	Lane1958	English
Langdon (1971)	Langdon1971	English
Langdon & Herrnkind (1985)	Langdon1985	
Latreille (1802-1803)	Latreille1802	French
Latreille (1806)	Latreille1806	Latin
Latreille (1817)	Latreille1817.2	French
Latreille (1817)	Latreille1817.1	French
Latreille (1818)	Latreille1818	French
Latreille (1828)	Latreille1828	French
Latreille (1829)	Latreille1829	French
Latreille (1837)	Latreille1837	English
Latreille (?)	Latreille_nd	French
Latruffe et al. (1999)	Latruffe1999	
Latruffe et al. (1997)	Latruffe1997	
Laufer et al. (1993)	Laufer1993	English
Laurenzano et al. (2016)	Laurenzano2016	English
Laurenzano et al. (2013)	Laurenzano2013	English
Laurenzano & Schubart (2017)	Laurenzano2017	English
Laurie (1906)	Laurie1906	English
Laurie (1915)	Laurie1915	English
Lautenschlager et al. (2010)	Lautenschlager2010	
Lavajoo et al. (2013)	Lavajoo2013	English
Lawson (1709)	Lawson1709	English
Lawson (1714)	Lawson1714	English
Lawson (1860)	Lawson1860	English
Lawson (1903)	Lawson1903	English
Lawson (1937)	Lawson1937	English
Layne (1997)	Layne1997.1	English
Layne (1998)	Layne1998	
Layne et al. (2003)	Layne2003.1	
Layne et al. (2003)	Layne2003.2	
Layne et al. (1997)	Layne1997.2	English
Layne et al. (1997)	Layne1997.3	English
Le Conte (1855)	LeConte1855	English
Leach (1814)	Leach1814	English
Leach (1815)	Leach1815	English
Leach (1832)	Leach1832	English
Leary (1961)	Leary1961	English
LeBlanc et al. (2006)	LeBlanc2006	English
Lecroisey et al. (1987)	Lecroisey1987	
Lecroisey & Keil (1985)	Lecroisey1985	
Lecroy & Wagner-Merner (1976)	Lecroy1976	
Lee & Shih (2004)	Lee2004	
Lee et al. (1995)	Lee1995	English
Lee (2001)	Lee2001	Chinese
Lee & Weis (1980)	Lee1980	
Lee & Lim (2003)	Lee2003	
Lee et al. (1982)	Lee1982	English
Lee et al. (1981)	Lee1981.2	
Lee et al. (1981)	Lee1981.1	
Lee & Kneib (1994)	Lee1994	
Lehmann (1976)	Lehmann1976	English
Lehmann et al. (1974)	Lehmann1974	German [with English abstract/summary]
