Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes	
Roberts1965	1.2	Uca	fiddler crab	text p. 203	citation	Fingerman1964.1	0	>Uca	<	.	.	
Wilkins1965	1	Uca pugnax	fiddler crab	"text p. 152, 157"	citation	Brown1948.2	1	=	=	.	.	
Aschoff1965	1	Uca pugnax	.	"text p. 95-96, 102"	citation	Stephens1957	1	=	=	.	.	
Brown1965	1.01	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1954.5	0	>Uca	<	.	.	
Brown1965	1.02	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1949	0	>Uca	<	.	.	
Brown1965	1.03	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1951	0	>Uca	<	.	.	
Brown1965	1.04	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1952	0	>Uca	<	.	.	
Brown1965	1.05	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Webb1950.1	0	>Uca	<	.	.	
Brown1965	1.06	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1954.3	0	>Uca	<	.	.	
Brown1965	1.07	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Stephens1957	0	>Uca	<	.	.	
Brown1965	1.08	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Webb1954.1	0	>Uca	<	.	.	
Brown1965	1.09	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Stephens1962	0	>Uca	<	.	.	
Brown1965	1.1	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Barnwell1963.2	0	>Uca	<	.	.	
Brown1965	1.11	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1953.3	0	>Uca	<	.	.	
Brown1965	1.12	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Webb1958	0	>Uca	<	.	.	
Brown1965	1.13	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Webb1961	0	>Uca	<	.	.	
Brown1965	1.14	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1958	0	>Uca	<	.	.	
Brown1965	1.15	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Bennett1957	0	>Uca	<	.	.	
Brown1965	1.16	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Fingerman1957	0	>Uca	<	.	.	
Brown1965	1.17	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Barnwell1963.1	0	>Uca	<	.	.	
Brown1965	1.18	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Bennett1963	0	>Uca	<	.	.	
Brown1965	1.19	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1959	0	>Uca	<	.	.	
Brown1965	1.2	Uca	fiddler crab	"text p. 233-236, 238, 243-246, 250"	citation	Brown1960	0	>Uca	<	.	.	
Cable1965	1	.	fiddler crabs	text p. 522	location	Puerto Rico	.	>Uca	<	.	.	
Abbott1966	1	Uca sp.	.	text p. 1320	location	"Ocean Springs, Mississippi, USA"	.	?	.	.	.	
Barnwell1966	1.1	Uca pugilator	.	"text p. 1-2, 7-10, 12-13, 15-16"	location	"Woods Hole, Massachusetts, USA"	.	pugilator	<	.	.	
Barnwell1966	1.2	Uca pugilator	.	"text p. 1-2, 7-10, 12-13, 15-16"	citation	Edwards1950	2	=	=	.	.	
Barnwell1966	1.3	Uca pugilator	.	"text p. 1-2, 7-10, 12-13, 15-16"	citation	Brown1954.2	2	=	=	.	.	
Barnwell1966	1.4	Uca pugilator	.	"text p. 1-2, 7-10, 12-13, 15-16"	citation	Fingerman1958	1	=	=	.	.	
Barnwell1966	1.5	Uca pugilator	.	"text p. 1-2, 7-10, 12-13, 15-16"	citation	Hyman1920.2	1	=	=	.	.	
Barnwell1966	2.1	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	location	"Woods Hole, Massachusetts, USA"	.	pugnax	<	.	.	
Barnwell1966	2.2	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Edwards1950	1	=	=	.	.	
Barnwell1966	2.3	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Brown1954.2	1	=	=	.	.	
Barnwell1966	2.4	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Webb1958	1	=	=	.	.	
Barnwell1966	2.5	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Bennett1957	1	=	=	.	.	
Barnwell1966	2.6	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Brown1960	.	=	=	.	.	
Barnwell1966	2.7	Uca pugnax	.	"text p. 1-2, 10-13, 15-16"	citation	Hyman1920.2	2	=	=	.	.	
Barnwell1966	3.1	Uca minax	.	"text p. 1-2, 4-8, 12-13, 15-16"	location	"Woods Hole, Massachusetts, USA"	.	minax	<	.	.	
Barnwell1966	3.2	Uca minax	.	"text p. 1-2, 4-8, 12-13, 15-16"	citation	Edwards1950	3	=	=	.	.	
Barnwell1966	3.3	Uca minax	.	"text p. 1-2, 4-8, 12-13, 15-16"	citation	Hyman1920.2	3	=	=	.	.	
Barnwell1966	4	Uca maracoani	.	text p. 2	citation	Barnwell1963.2	5	=	=	.	.	
Barnwell1966	5	Uca mordax	.	text p. 2	citation	Barnwell1963.2	6	=	=	.	.	
Barnwell1966	6	Uca tangeri	.	text p. 15	citation	Altevogt1959.1	1	=	=	.	.	
Dean1966	1	Uca pugilator	.	text p. 19-21	location	"Beaufort, North Carolina, USA"	.	pugilator	<	.	.	
Eberhardt1966	1	Uca crenulata	.	text p. 161	location	"Laguna Guerrero Negro, Baja California Sur, Mexico"	.	.	.	.	.	
Knopf1966	1	Uca pugilator	sand fiddler crab	text p. 302-305	location	"Woods Hole, Massachusetts, USA"	.	pugilator	<	.	.	
Fingerman1966.3	1	Uca pugilator	.	text p. 390	location	"Ocean Springs, Mississippi, USA"	.	.	.	.	"No location fo the specimens is reported, but the senior investigator was conducting his research out of the marine lab at Ocean Springs"	
Nagabhushanam1966.1	1	Gelasimus annulipes	.	text p. 467-468	location	"Vellar Estuary, India"	.	annulipes	<	.	.	
Nagabhushanam1966.2	1	Gelasimus annulipes	.	text p. 429	location	"Vellar Estuary, India"	.	annulipes	<	.	.	
Crane1966.1	1.1	Uca lactea	.	"text p. 463, 468-471"	location	Singapore	.	annulipes	>MSR:geography	"could also be <em class=""species"">Uca perplexa</em>"	.	
Crane1966.1	1.2	Uca lactea	.	"text p. 463, 468-471"	location	Taiwan	.	lactea	<	.	.	
Crane1966.1	2	Uca tangeri	.	"text p. 466, 469"	location	West coast of Africa	.	tangeri	<	.	.	
Crane1966.1	3	Uca pugilator	.	"text p. 466, 469"	location	Atlantic coast of the Americas	.	pugilator	<	.	.	
Crane1966.1	4	Uca terpsichores	.	text p. 468	n/a	.	.	terpsichores	<	.	.	
Crane1966.1	5	Uca musica	.	text p. 468	n/a	.	.	musica	<	.	.	
Crane1966.1	6	Uca dussumieri	.	"text p. 468, 470"	n/a	.	.	dussumieri	<	.	.	
Crane1966.1	7	Uca coarctata	.	text p. 468	n/a	.	.	coarctata	<	.	.	
Crane1966.1	8	Uca tetragonon	.	"text p. 468, 470"	n/a	.	.	tetragonon	<	.	.	
Crane1966.1	9	Uca vocans	.	text p. 468-469	n/a	.	.	vocans	<	.	.	
Crane1966.1	10	Uca maracoani	.	text p. 468	n/a	.	.	maracoani	<	.	.	
Crane1966.1	11	Uca vocatur	.	"text p. 468, 470"	n/a	.	.	vocator	<	"Spelling is likely a typo rather than deliberate, although its repeated on two different pages."	.	
Crane1966.1	12	Uca rapax	.	"text p. 468, 470"	n/a	.	.	rapax	<	.	.	
Crane1966.1	13	Uca thayeri	.	text p. 468	n/a	.	.	thayeri	<	.	.	
Crane1966.1	14	Uca cumulanta	.	text p. 468-469	n/a	.	.	cumulanta	<	.	.	
Crane1966.1	15	Uca rosea	.	text p. 468	n/a	.	.	rosea	<	.	.	
Crane1966.1	16	Uca mordax	.	text p. 468	n/a	.	.	mordax	<	.	.	
Crane1966.1	17	Uca chlorophthalmus	.	text p. 469	n/a	.	.	chlorophthalmus	<	.	.	
Crane1966.1	18	Uca speciosa	.	text p. 469	n/a	.	.	speciosa	<	.	.	
Crane1966.1	19	Uca deichmanni	.	text p. 469	n/a	.	.	deichmanni	<	.	.	
Crane1966.1	20	Uca saltitanta	.	text p. 469	n/a	.	.	saltitanta	<	.	.	
Crane1966.1	21	Uca festae	.	text p. 469	n/a	.	.	festae	<	.	.	
Crane1966.1	22	Uca limicola	.	text p. 469	n/a	.	.	limicola	<	.	.	
Crane1966.1	23	Uca oerstedi	.	text p. 469	n/a	.	.	oerstedi	<	.	.	
Crane1966.1	24	Uca demani	.	text p. 470	n/a	.	.	demani	<	.	.	
Crane1966.2	1	Uca	fiddler crabs	text p. 28	n/a	.	.	>Uca	.	.	.	
Vernberg1966.1	1	Uca rapax	.	text p. 62-63	location	Puerto Rico	.	rapax	<	.	.	
Vernberg1966.1	2	Uca pugilator	.	text p. 62-63	location	"Beaufort, North Carolina, USA"	.	pugilator	<	.	.	
Vernberg1966.2	1.1	Uca rapax	.	"text p. 36-41, 43-48, 50-51"	location	Puerto Rico	.	rapax	<	.	.	
Vernberg1966.2	1.2	Uca rapax	.	"text p. 36-41, 43-48, 50-51"	citation	Vernberg1959.3	1	=	=	.	.	
Vernberg1966.2	2	Uca thayeri	.	"text p. 36-41, 51"	location	Puerto Rico	.	thayeri	<	.	.	
Vernberg1966.2	3	Uca minax	.	"text p. 36-37, 39-42"	location	"Beaufort, North Carolina, USA"	.	minax	<	.	.	
Vernberg1966.2	4.1	Uca pugilator	.	"text p. 36-37, 39-51"	location	"Beaufort, North Carolina, USA"	.	pugilator	<	.	.	
Vernberg1966.2	4.2	Uca pugilator	.	"text p. 36-37, 39-51"	location	"Massachusetts, USA"	.	pugilator	<	.	.	
Vernberg1966.2	4.3	Uca pugilator	.	"text p. 36-37, 39-51"	location	"Florida, USA"	.	.	.	.	.	
Vernberg1966.2	4.4	Uca pugilator	.	"text p. 36-37, 39-51"	citation	Demeusy1957	2	=	=	.	.	
Vernberg1966.2	5.1	Uca pugnax	.	"text p. 36-37, 39-45, 48-51"	location	"Beaufort, North Carolina, USA"	.	pugnax	<	.	.	
Vernberg1966.2	5.2	Uca pugnax	.	"text p. 36-37, 39-45, 48-51"	location	"New York, USA"	.	pugnax	<	.	.	
Vernberg1966.3	1	Uca pugilator	.	text p. 363-373	location	"Beaufort, North Carolina, USA"	.	pugilator	<	.	.	
Vernberg1966.3	2.1	Uca pugnax	.	text p. 363-373	location	"Beaufort, North Carolina, USA"	.	pugnax	<	.	.	
Vernberg1966.3	2.2	Uca pugnax	.	text p. 363-373	citation	Tashian1958	1	=	=	.	.	
Vernberg1966.3	2.3	Uca pugnax	.	text p. 363-373	citation	Vernberg1959.1	1	=	=	.	.	
Vernberg1966.3	3.1	Uca rapax	.	"text p. 363-365, 367-374"	location	Puerto Rico	.	rapax	<	.	.	
Vernberg1966.3	3.2	Uca rapax	.	"text p. 363-365, 367-374"	citation	Vernberg1959.1	2	=	=	.	.	
Vernberg1966.3	3.3	Uca rapax	.	"text p. 363-365, 367-374"	citation	Vernberg1959.3	1	=	=	.	.	
Vernberg1966.4	1.1	Uca pugnax	.	text p. 30-33	location	"Beaufort, North Carolina, USA"	.	pugnax	<	.	.	
Vernberg1966.4	1.2	Uca pugnax	.	text p. 30-33	citation	Vernberg1959.1	1	=	=	.	.	
Vernberg1966.4	2.1	Uca rapax	.	text p. 30-33	location	Jamaica	.	rapax	<	.	.	
Vernberg1966.4	2.2	Uca rapax	.	text p. 30-33	citation	Vernberg1959.1	2	=	=	.	.	
Vernberg1966.5	1.1	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	location	Brazil	.	rapax	<	.	.	
Vernberg1966.5	1.2	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	citation	Tashian1958	2	=	=	.	.	
Vernberg1966.5	1.3	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	citation	Rathbun1918.2	14	=	=	.	.	
Vernberg1966.5	1.4	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	citation	Oliveira1939.1	49	=	=	.	.	
Vernberg1966.5	1.5	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	citation	Vernberg1959.3	1	=	=	.	.	
Vernberg1966.5	1.6	Uca rapax	.	"text p. 489-490, 492-503, 508, 510-513, 515-522"	citation	Vernberg1966.3	3	=	=	.	.	
Vernberg1966.5	2.1	Uca pugnax	.	"text p. 490, 503, 510-513, 515, 518-521"	citation	Tashian1958	1	=	=	.	.	
Vernberg1966.5	2.2	Uca pugnax	.	"text p. 490, 503, 510-513, 515, 518-521"	citation	Rathbun1918.2	13	=	=	.	.	
Vernberg1966.5	2.3	Uca pugnax	.	"text p. 490, 503, 510-513, 515, 518-521"	citation	Vernberg1966.3	2	=	=	.	.	
Vernberg1966.5	3	Uca uruguayensis	.	"text p. 490, 492, 503-510, 514-515, 517, 519-522"	location	Brazil	.	uruguayensis	<	.	.	
Vernberg1966.5	4	Uca pugilator	.	text p. 515	citation	Vernberg1966.3	1	=	=	.	.	
Korte1966	1.1	Uca tangeri	.	text p. 1-34	location	Spain	.	tangeri	<	.	.	
Korte1966	1.2	Uca tangeri	.	text p. 1-34	citation	Nosler1963	.	=	=	.	.	
Korte1966	1.3	Uca tangeri	.	text p. 1-34	citation	Altevogt1963.1	1	=	=	.	.	
Korte1966	1.4	Uca tangeri	.	text p. 1-34	citation	Altevogt1964.1	2	=	=	.	.	
Korte1966	1.5	Uca tangeri	.	text p. 1-34	citation	Altevogt1964.2	1	=	=	.	.	
Korte1966	1.6	Uca tangeri	.	text p. 1-34	citation	vonHagen1961	1	=	=	.	.	
Korte1966	1.7	Uca tangeri	.	text p. 1-34	citation	vonHagen1962.1	1	=	=	.	.	
Korte1966	1.8	Uca tangeri	.	text p. 1-34	citation	Gunther1963	1	=	=	.	.	
Korte1966	1.9	Uca tangeri	.	text p. 1-34	citation	Altevogt1959.1	1	=	=	.	.	
Korte1966	2.1	Uca pugnax	.	"text p. 2, 14-15, 18"	citation	Clark1935	1	=	=	.	.	
Korte1966	2.2	Uca pugnax	.	"text p. 2, 14-15, 18"	citation	Kunze1963	.	=	=	.	.	
Korte1966	3	Uca marionis	.	"text p. 2, 23"	citation	Altevogt1957.1	3	=	=	.	.	
Korte1966	4	Uca annulipes	.	"text p. 2, 23"	citation	Altevogt1957.1	2	=	=	.	.	
Macnae1966	1	Uca lactea subsp. lactea	.	"text p. 77, 79, 92"	location	"Eastern Queensland, Australia"	.	perplexa	>MSR:geography	.	.	
Macnae1966	2	Uca lactea subsp. annulipes	.	text p. 77	location	Eastern Africa	.	occidentalis	>MSR:geography	.	.	
Macnae1966	3.1	Uca bellator	.	"text p. 77, 79-80, 92, 96"	location	"Eastern Queensland, Australia"	.	signata	Crane1975	.	.	
Macnae1966	3.2	Uca bellator	.	"text p. 77, 79-80, 92, 96"	citation	Hess1865	2	=	=	.	.	
Macnae1966	4	Uca dussumieri	.	"text p. 79-80, 85, 89"	location	Eastern Australia	.	dussumieri	<	.	.	
Macnae1966	5	Uca longidigitum	.	"text p. 79-80, 89, 96"	location	Eastern Australia	.	longidigitum	<	.	.	
Macnae1966	6	Uca sp. {1}	.	"text p. 79-81, 85-86"	location	Eastern Australia	.	polita	Crane1975	He calls this &ldquo;<em>Uca</em> unnamed sp. (pink claw)&rdquo;	.	
Macnae1966	7	Uca coarctata	.	"text p. 85, 89"	location	Eastern Australia	.	coarctata	<	.	.	
Macnae1966	8.1	Uca vocans	.	"text p. 85-86, 89"	location	Eastern Australia	.	vomeris	>MSR:geography	.	.	
Macnae1966	8.2	Uca vocans	.	"text p. 85-86, 89"	citation	Desmarest1823	5	=	=	.	.	
Macnae1966	9	Uca sp. {2}	.	text p. 101	location	"Darwin, Northern Territory, Australia"	.	flammula	>MSR	"""red legs"""	.	
Sarojini1966	1	Uca annulepis	.	text p. 274-275	location	"Parangipettai, India"	.	annulipes	<	.	.	
Sarojini1966	2	Uca triangularis	.	text p. 274-275	location	"Parangipettai, India"	.	bengali	>MSR:geography	.	.	
Sarojini1966	3	Uca minax	.	text p. 274-275	citation	Huxley1932	2	=	=	.	.	
Sarojini1966	4.1	Uca pugnax	.	text p. 274-275	citation	Morgan1923.1	1	=	=	.	.	
Sarojini1966	4.2	Uca pugnax	.	text p. 274-275	citation	Morgan1923.2	1	=	=	.	.	
Herrnkind1966	1	Uca pugilator	.	text p. 298-299	location	"Miami, Florida, USA"	.	pugilator	<	.	.	
Vernberg1966.6	1.1	Uca rapax	.	text p. 326-327	location	"Florida, USA"	.	rapax	<	.	.	
Vernberg1966.6	1.2	Uca rapax	.	text p. 326-327	location	Jamaica	.	rapax	<	.	.	
Vernberg1966.6	1.3	Uca rapax	.	text p. 326-327	location	Brazil	.	rapax	<	.	.	
Vernberg1966.6	2	Uca pugnax	.	text p. 327	location	"North Carolina, USA"	.	pugnax	<	.	.	
Vernberg1966.7	1.1	Uca rapax	.	text p. 327	location	"Florida, USA"	.	rapax	<	.	.	
Vernberg1966.7	1.2	Uca rapax	.	text p. 327	location	Jamaica	.	rapax	<	.	.	
Vernberg1966.7	1.3	Uca rapax	.	text p. 327	location	Brazil	.	rapax	<	.	.	
Vernberg1966.7	2	Uca uruguayensis	.	text p. 327	location	Brazil	.	uruguayensis	<	.	.	
Skobe1966	1	Uca	.	text p. 520	n/a	.	.	>Uca	<	.	.	
Blanquet1966	1	Uca pugilator	.	text p. 563	n/a	.	.	pugilator	<	.	.	
Fingerman1966.2	1	Uca pugilator	.	text p. 602-603	location	"Woods Hole, Massachusetts, USA"	.	pugilator	<	.	.	
Hariharan1966	1	Uca pugilator	.	text p. 507	n/a	.	.	pugilator	<	.	.	
Salmon1966	1.1	Uca pugilator	Sand Fiddler Crab	text p. 515	location	"Florida, USA"	.	?	<	"Could be either <em class=""species"">Uca pugilator, U. panacea,</em> or a mix of both."	.	
Salmon1966	1.2	Uca pugilator	Sand Fiddler Crab	text p. 515	citation	Salmon1965	1	=	=	.	.	
Salmon1966	2	Uca rapax	.	text p. 515	location	"Florida, USA"	.	rapax	<	.	.	
Salmon1966	3	Uca thayeri	.	text p. 515	location	"Florida, USA"	.	thayeri	<	.	.	
Salmon1966	4	Uca pugnax	.	text p. 515	location	"Florida, USA"	.	pugnax	<	.	.	
Salmon1966	5	Uca minax	.	text p. 515	location	"Florida, USA"	.	minax	<	.	.	
Salmon1966	6	Uca sp. {1}	.	text p. 515	location	"Florida, USA"	.	longisignalis	>MSR	It is very likely this was one of the unidentified species	.	
Salmon1966	7	Uca sp. {2}	.	text p. 515	location	"Florida, USA"	.	virens	>MSR	It is very likely this was one of the unidentified species	.	
Fingerman1966.1	1.1	Uca pugilator	.	text p. 169-178	citation	PerezGonzalez1957	1.1	=	=	.	.	
Fingerman1966.1	1.2	Uca pugilator	.	text p. 169-178	citation	Stephens1956	1	=	=	.	.	
Fingerman1966.1	1.3	Uca pugilator	.	text p. 169-178	citation	Fingerman1956.2	1	=	=	.	.	
Fingerman1966.1	1.4	Uca pugilator	.	text p. 169-178	location	"Florida, USA"	.	?	.	"could be <em class=""species"">Uca pugilator</em> or <em class=""species"">U. panacea.</em>"	.	
Fingerman1966.1	1.5	Uca pugilator	.	text p. 169-178	location	"Woods Hole, Massachusetts, USA"	.	pugilator	<	.	.	
Fingerman1966.1	2.1	Uca	.	text p. 169-171	citation	Fingerman1965	0	>Uca	<	.	.	
Fingerman1966.1	2.2	Uca	.	text p. 169-171	citation	Fingerman1965.2	0	>Uca	<	.	.	
Fingerman1966.1	2.3	Uca	.	text p. 169-171	citation	Carlson1935	0	>Uca	<	.	.	
Fingerman1966.1	2.4	Uca	.	text p. 169-171	citation	Brown1950	0	>Uca	<	.	.	
Fingerman1966.1	2.5	Uca	.	text p. 169-171	citation	Sandeen1950	0	>Uca	<	.	.	
Fingerman1966.1	2.6	Uca	.	text p. 169-171	citation	Fingerman1963.2	0	>Uca	<	.	.	
Fingerman1966.1	2.7	Uca	.	text p. 169-171	citation	Abramowitz1937	0	>Uca	<	.	.	
Fingerman1966.1	2.8	Uca	.	text p. 169-171	citation	Brown1948.1	0	>Uca	<	.	.	
Fingerman1966.1	2.9	Uca	.	text p. 169-171	citation	Abramowitz1938.2	0	>Uca	<	.	.	
Fingerman1966.1	2.10	Uca	.	text p. 169-171	citation	Brown1940	0	>Uca	<	.	.	
Fingerman1966.1	2.11	Uca	.	text p. 169-171	citation	Webb1954.2	0	>Uca	<	.	.	
Fingerman1966.1	3	Uca pugnax	.	text p. 174	location	"Woods Hole, Massachusetts, USA"	.	pugnax	<	.	.	
Webb1966	1	Uca pugnax	.	text p. 181-186	location	"Buzzards Bay, Massachusetts, USA"	.	pugnax	<	.	.	
Webb1966	2.1	Uca	.	text p. 181	citation	Brown1948.2	0	>Uca	<	.	.	
Webb1966	2.2	Uca	.	text p. 181	citation	Brown1949	0	>Uca	<	.	.	
Webb1966	2.3	Uca	.	text p. 181	citation	Webb1950.1	0	>Uca	<	.	.	
Webb1966	2.4	Uca	.	text p. 181	citation	Brown1953.3	0	>Uca	<	.	.	
Vernberg1964	1.1	Uca	.	"text p. 476-477, 482, 484-485"	n/a	.	.	>Uca	<	.	.	
Vernberg1964	1.2	Uca	.	"text p. 476-477, 482, 484-485"	citation	Vernberg1966.2	0	>Uca	<	.	.	
Vernberg1964	2.1	Uca pugnax	.	text p. 478-484	location	Atlantic coast of United States	.	pugnax	<	.	.	
Vernberg1964	2.2	Uca pugnax	.	text p. 478-484	citation	Vernberg1966.2	5	=	=	.	.	
Vernberg1964	2.3	Uca pugnax	.	text p. 478-484	citation	Vernberg1960	2	=	=	.	.	
Vernberg1964	2.4	Uca pugnax	.	text p. 478-484	citation	Vernberg1959.3	2	=	=	.	.	
Vernberg1964	2.5	Uca pugnax	.	text p. 478-484	citation	Tashian1956	2	=	=	.	.	
Vernberg1964	3.1	Uca minax	.	text p. 478	location	Atlantic coast of United States	.	minax	<	.	.	
Vernberg1964	3.2	Uca minax	.	text p. 478	citation	Vernberg1966.2	3	=	=	.	.	
Vernberg1964	4.1	Uca pugilator	.	text p. 478-485	location	Atlantic coast of United States	.	pugilator	<	.	.	
Vernberg1964	4.2	Uca pugilator	.	text p. 478-485	citation	Vernberg1966.2	4	=	=	.	.	
Vernberg1964	4.3	Uca pugilator	.	text p. 478-485	citation	Demeusy1957	2	=	=	.	.	
Vernberg1964	5.1	Uca rapax	.	"text p. 478, 480-484"	location	Atlantic coast of the Americas	.	rapax	<	.	.	
Vernberg1964	5.2	Uca rapax	.	"text p. 478, 480-484"	citation	Vernberg1966.2	1	=	=	.	.	
Vernberg1964	5.3	Uca rapax	.	"text p. 478, 480-484"	citation	Vernberg1960	1	=	=	.	.	
Vernberg1964	5.4	Uca rapax	.	"text p. 478, 480-484"	citation	Vernberg1959.3	1	=	=	.	.	
Vernberg1964	5.5	Uca rapax	.	"text p. 478, 480-484"	citation	Tashian1956	1	=	=	.	.	
Vernberg1964	6.1	Uca thayeri	.	text p. 478	location	Atlantic coast of the Americas	.	thayeri	<	.	.	
Vernberg1964	6.2	Uca thayeri	.	text p. 478	citation	Vernberg1966.2	2	=	=	.	.	
Vernberg1964	7	Uca leptodactyla	.	text p. 478	location	Atlantic coast of the Americas	.	leptodactyla	<	.	.	
Malzone1966	1	Uca	.	text p. 511-518	location	"East coast of Florida, USA"	.	>Uca	<	There is no way to determine the species (multiple?) studied	.	
Bartell1967	1.1	Uca pugilator	.	text p. 208-212	n/a	.	.	pugilator	<	Location where species was collected is not specified.	.	
Bartell1967	1.2	Uca pugilator	.	text p. 208-212	citation	Stephens1956	1	=	=	.	.	
Bartell1967	1.3	Uca pugilator	.	text p. 208-212	citation	Fingerman1966.1	1	=	=	.	.	
Evans1967	1	Gelasimus panamensis	.	text p. 408	specimen	Panama	.	panamensis	<	.	.	
Fingerman1967.1	1.1	Uca pugilator	.	text p. 303-318	location	"Alligator Harbor, Florida, USA"	.	.	.	.	.	
Fingerman1967.1	1.2	Uca pugilator	.	text p. 303-318	location	"Shell Point Island, Florida, USA"	.	.	.	.	.	
Fingerman1967.1	1.3	Uca pugilator	.	text p. 303-318	citation	Brown1948.1	1	=	=	.	.	
Fingerman1967.1	1.4	Uca pugilator	.	text p. 303-318	citation	Fingerman1956.1	2	=	=	.	.	
Fingerman1967.1	2	Uca pugnax	.	text p. 311	citation	Stephens1962	1	=	=	.	.	
Holthuis1967	1.1	Uca burgersi	.	text p. 51-54	citation	Streets1872	1	=	=	.	.	
Holthuis1967	1.2	Uca burgersi	.	text p. 51-54	citation	Kingsley1880	26	=	=	.	.	
Holthuis1967	1.3	Uca burgersi	.	text p. 51-54	citation	Rathbun1918.2	11	=	=	.	.	
Holthuis1967	1.4	Uca burgersi	.	text p. 51-54	citation	Holthuis1959.1	5	=	=	.	.	
Holthuis1967	1.5	Uca burgersi	.	text p. 51-54	citation	Holthuis1959.2	2	=	=	.	.	
Holthuis1967	2	Uca mordax	.	text p. 52-53	citation	Holthuis1959.1	4	=	=	.	.	
Holthuis1967	3	Uca tetragonon	.	text p. 54	citation	GuerinMeneville1829.1	2	=	=	.	.	
Holthuis1967.2	1.1	Uca vocans	.	"text p. 7, 20; plate 2"	citation	Linnaeus1758	1.1	=	=	.	.	
Holthuis1967.2	1.2	Uca vocans	.	"text p. 7, 20; plate 2"	citation	Desmarest1823	5	=	=	.	.	
Holthuis1967.2	2	Uca pugilator	.	"text p. 14, 19-20; plate 2"	n/a	.	.	pugilator	<	.	.	
Nagabhushanam1967	1.1	Uca annulipes	.	text p. 292-297	location	"Visakhapatnam Harbor, India"	.	annulipes	<	.	.	
Nagabhushanam1967	1.2	Uca annulipes	.	text p. 292-297	citation	Nagabhushanam1963	.	=	=	.	.	
Nagabhushanam1967	1.3	Uca annulipes	.	text p. 292-297	citation	Nagabhushanam1964	1	=	=	.	.	
Nagabhushanam1967	2	Uca pugilator	.	"text p. 292, 296-297"	citation	Sandeen1950	1	=	=	.	.	
Rao1967.2	1.1	Uca annulipes	.	text p. 155-159	location	"Visakhapatnam Harbor, India"	.	annulipes	<	.	.	
Rao1967.2	1.2	Uca annulipes	.	text p. 155-159	citation	Nagabhushanam1963	.	=	=	.	.	
Rao1967.2	1.3	Uca annulipes	.	text p. 155-159	citation	Nagabhushanam1964	1	=	=	.	.	
Rao1967.2	2	Uca pugilator	.	text p. 155	citation	Brown1948.1	1	=	=	.	.	
Rao1967.1	1.1	Uca pugilator	.	text p. 606-616	location	"Panacea, Florida, USA"	.	panacea	.	.	.	
Rao1967.1	1.2	Uca pugilator	.	text p. 606-616	citation	Brown1948.1	1	=	=	.	.	
Rao1967.1	1.3	Uca pugilator	.	text p. 606-616	citation	Brown1948.2	1	=	=	.	.	
Rao1967.1	1.4	Uca pugilator	.	text p. 606-616	citation	Carlson1935	1	=	=	.	.	
Rao1967.1	1.5	Uca pugilator	.	text p. 606-616	citation	Sandeen1950	1	=	=	.	.	
Rao1967.1	1.6	Uca pugilator	.	text p. 606-616	citation	Fingerman1967.1	1	=	=	.	.	
Rao1967.1	2.1	Uca annulipes	.	"text p. 606, 614-615"	citation	Nagabhushanam1967	1	=	=	.	.	
Rao1967.1	2.2	Uca annulipes	.	"text p. 606, 614-615"	citation	Rao1967.2	1	=	=	.	.	
